entidad,entidad_ascii,distrito,coalicion,grupo_parlamentario,partido_origen,_ENT_N
VERACRUZ,VERACRUZ,6,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,7,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,9,SIGAMOS HACIENDO HISTORIA,PT,,VERACRUZ
VERACRUZ,VERACRUZ,10,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,11,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,12,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,13,SIGAMOS HACIENDO HISTORIA,PVEM,,VERACRUZ
VERACRUZ,VERACRUZ,14,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,15,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,16,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,17,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
VERACRUZ,VERACRUZ,18,SIGAMOS HACIENDO HISTORIA,PVEM,,VERACRUZ
VERACRUZ,VERACRUZ,19,SIGAMOS HACIENDO HISTORIA,MORENA,,VERACRUZ
YUCATÁN,YUCATAN,1,SIGAMOS HACIENDO HISTORIA,MORENA,,YUCATAN
YUCATÁN,YUCATAN,2,SIGAMOS HACIENDO HISTORIA,PVEM,,YUCATAN
YUCATÁN,YUCATAN,3,SIGAMOS HACIENDO HISTORIA,MORENA,,YUCATAN
YUCATÁN,YUCATAN,4,SIGAMOS HACIENDO HISTORIA,MORENA,,YUCATAN
YUCATÁN,YUCATAN,5,SIGAMOS HACIENDO HISTORIA,PVEM,,YUCATAN
YUCATÁN,YUCATAN,6,SIGAMOS HACIENDO HISTORIA,MORENA,,YUCATAN
ZACATECAS,ZACATECAS,1,SIGAMOS HACIENDO HISTORIA,MORENA,,ZACATECAS
ZACATECAS,ZACATECAS,2,SIGAMOS HACIENDO HISTORIA,PVEM,,ZACATECAS
ZACATECAS,ZACATECAS,3,SIGAMOS HACIENDO HISTORIA,PT,,ZACATECAS
ZACATECAS,ZACATECAS,4,SIGAMOS HACIENDO HISTORIA,PT,,ZACATECAS
